dHex.count,HexNAc.count,NeuAc.count,Hex.count,mass,Intensity,Sample.name,Sample.collection.time
3,0,2,0,3314.6198,15.8856377592054,P2,22plus5
3,1,0,0,2837.3986,405.856848430467,P2,22plus5
3,1,1,0,3198.5724,119.134290707123,P2,22plus5
3,1,1,1,3402.6722,107.672414709299,P2,22plus5
3,1,2,0,3559.7462,0.928723930182728,P2,22plus5
4,0,1,1,3331.635,19.9481288940696,P2,22plus5
4,1,0,0,3011.4878,105.675887879592,P2,22plus5
4,1,1,0,3372.6616,1.73707057877229,P2,22plus5
4,1,1,1,3576.7614,4.32505143327945,P2,22plus5
5,0,0,2,3348.6502,4.29773646968182,P2,22plus5
2,2,0,-2,2500,93.8982998590408,P2,22plus5
3,1,0,-1,2633.1,57.5940990711,P2,22plus5
3,2,0,-2,2674.1,87.4165587483767,P2,22plus5
0,0,0,0,2070.0046,718.351107674422,P6,21plus3
0,0,1,0,2431.1784,496.087276517353,P6,21plus3
0,0,2,0,2792.3522,13.2179139361495,P6,21plus3
0,1,0,0,2315.131,320.461870967118,P6,21plus3
0,1,1,0,2676.3048,114.86497907376,P6,21plus3
1,0,0,0,2244.0938,941.060734602462,P6,21plus3
1,0,1,0,2605.2676,563.381332529572,P6,21plus3
1,0,2,0,2966.4414,6.93850582792275,P6,21plus3
1,1,0,0,2489.2202,1482.87208709056,P6,21plus3
1,1,0,1,2693.32,312.031734005694,P6,21plus3
1,1,1,0,2850.394,562.215453374954,P6,21plus3
1,1,1,1,3054.4938,121.455017133212,P6,21plus3
1,1,2,0,3211.5678,8.27568169471807,P6,21plus3
2,0,0,0,2418.183,358.91371665139,P6,21plus3
2,0,1,0,2779.3568,99.6396706580992,P6,21plus3
2,1,0,0,2663.3094,329.661924781751,P6,21plus3
2,1,0,1,2867.4092,276.410750446476,P6,21plus3
2,1,1,0,3024.4832,150.727114473117,P6,21plus3
2,1,1,1,3228.583,47.9936816469499,P6,21plus3
3,0,0,0,2592.2722,88.5114749350963,P6,21plus3
3,1,0,0,2837.3986,241.025396999343,P6,21plus3
3,1,0,1,3041.4984,136.752219994901,P6,21plus3
3,1,1,0,3198.5724,70.3313455049075,P6,21plus3
3,1,1,1,3402.6722,39.6683977520998,P6,21plus3
4,1,0,0,3011.4878,55.7889561264143,P6,21plus3
3,1,0,-1,2633.1,37.4165996473734,P6,21plus3
3,2,0,-2,2674.1,10.0489357022747,P6,21plus3
0,0,0,0,2070.0046,346.177267839518,P3,20plus4
0,0,1,0,2431.1784,59.5924700830795,P3,20plus4
0,0,2,0,2792.3522,55.971064243437,P3,20plus4
1,0,0,0,2244.0938,2258.96929936268,P3,20plus4
1,0,1,0,2605.2676,226.278319073356,P3,20plus4
1,0,2,0,2966.4414,36.8066786135321,P3,20plus4
1,1,0,0,2489.2202,319.92425696684,P3,20plus4
1,1,1,0,2850.394,55.5282429732421,P3,20plus4
1,1,2,0,3211.5678,15.5501319312446,P3,20plus4
2,0,0,0,2418.183,69.4180521518427,P3,20plus4
2,0,1,0,2779.3568,30.2643930394796,P3,20plus4
2,0,2,0,3140.5306,18.8536319403435,P3,20plus4
2,1,0,0,2663.3094,34.1519310492965,P3,20plus4
3,0,0,0,2592.2722,28.1936018239584,P3,20plus4
3,0,2,0,3314.6198,9.00507254620938,P3,20plus4
2,2,0,-2,2500,66.8304432068152,P3,20plus4
3,2,0,-2,2674.1,17.3798743513562,P3,20plus4
0,0,0,0,2070.0046,9.34728355470113,NP1,0plus0
0,0,2,0,2792.3522,13.6117470620174,NP1,0plus0
1,0,0,0,2244.0938,46.7926998989942,NP1,0plus0
1,0,1,0,2605.2676,15.1351500191601,NP1,0plus0
1,0,2,0,2966.4414,40.2733526263051,NP1,0plus0
1,1,0,0,2489.2202,14.2279460087329,NP1,0plus0
1,1,1,0,2850.394,6.5084242034195,NP1,0plus0
1,1,2,0,3211.5678,7.74482088170124,NP1,0plus0
2,0,0,0,2418.183,46.9873337575068,NP1,0plus0
2,0,1,0,2779.3568,12.9308544667974,NP1,0plus0
2,0,2,0,3140.5306,8.16554156079261,NP1,0plus0
2,1,0,0,2663.3094,12.0843733819747,NP1,0plus0
2,1,1,0,3024.4832,4.34055444315868,NP1,0plus0
2,1,2,0,3385.657,2.08134452201711,NP1,0plus0
3,0,0,0,2592.2722,180.513761361788,NP1,0plus0
3,0,1,0,2953.446,7.18525114435267,NP1,0plus0
3,0,2,0,3314.6198,4.9673917148181,NP1,0plus0
3,1,0,0,2837.3986,23.2927223664298,NP1,0plus0
3,1,1,0,3198.5724,7.44161453761118,NP1,0plus0
4,0,0,0,2766.3614,103.850516141997,NP1,0plus0
4,1,0,0,3011.4878,27.4584312487324,NP1,0plus0
